Segment_id,latitude,longitude,location,dist_from_start,dist_from_end
1,30.79955863952637,75.95743560791016,"Ludhiana Bypass Rd, Punjab 141122, India",0.0,257.71768761597235
2,30.79949188232422,75.95763397216797,"Ludhiana Bypass Rd, Punjab 141122, India",0.020375825419189485,257.69731179055316
3,30.79792022705078,75.96231842041016,"Ludhiana Bypass Rd, Punjab 141122, India",0.5013675996224596,257.21632001634987
4,30.79769325256348,75.96298217773438,"Ludhiana Bypass Rd, Punjab 141122, India",0.5696950580379871,257.1479925579344
5,30.796123504638672,75.96754455566406,"Ludhiana Bypass Rd, Punjab 141122, India",1.0397459378666098,256.6779416781057
6,30.79463005065918,75.97218322753906,"Ludhiana Bypass Rd, Punjab 141122, India",1.5135723651941864,256.2041152507781
7,30.793193817138672,75.97636413574219,"Ludhiana Bypass Rd, Punjab 141122, India",1.9442399451078238,255.7734476708645
8,30.791736,75.98066700000003,"Ludhiana Bypass Rd, Punjab 141122, India",2.3866481187225834,255.3310394972497
9,30.790149688720703,75.98539733886719,"Ludhiana Bypass Rd, Punjab 141122, India",2.8723559690361573,254.8453316469361
10,30.788684844970703,75.98995971679688,"Ludhiana Bypass Rd, Punjab 141122, India",3.3382578019156823,254.37942981405655
11,30.787011,75.994364,"Ludhiana Bypass Rd, Punjab 141122, India",3.798851581882914,253.9188360340894
12,30.78567695617676,75.9986343383789,"Ludhiana Bypass Rd, Punjab 141122, India",4.233528892202767,253.4841587237696
13,30.784860610961914,76.00360870361328,"Ludhiana Bypass Rd, Punjab 141421, India",4.718188528966435,252.99949908700583
14,30.784387588500977,76.007568359375,"Ludhiana Bypass Rd, Deep Nagar, Punjab 141122, India",5.100810662496602,252.6168769534757
15,30.783809661865234,76.011962890625,"Ludhiana Bypass Rd, Deep Nagar, Punjab 141122, India",5.526301525446381,252.1913860905259
16,30.784087,76.016551,"Ludhiana Bypass Rd, Punjab 141122, India",5.966545356182804,251.7511422597895
17,30.786975860595703,76.01952362060547,"Ludhiana Bypass Rd, Deep Nagar, Punjab 141416, India",6.394954812748956,251.32273280322326
18,30.790469,76.022711,"Ludhiana Bypass Rd, Deep Nagar, Punjab 141122, India",6.887955968270387,250.82973164770192
19,30.793769,76.025724,"Ludhiana Bypass Rd, SBS Nagar, Doraha, Punjab 141416, India",7.3538022845519055,250.3638853314204
20,30.79705238342285,76.0287857055664,"921, Street Number 3, SBS Nagar, Doraha, Punjab 141416, India",7.821106090184977,249.89658152578733
21,30.796428999999996,76.032738,"Ludhiana Bypass Rd, SBS Nagar, Doraha, Punjab 141416, India",8.205627221662912,249.5120603943094
22,30.79376,76.0368,"Ludhiana Bypass Rd, SBS Nagar, Doraha, Punjab 141416, India",8.694192490510277,249.02349512546203
23,30.79104042053223,76.04076385498047,"Jammu - Delhi Road, Doraha, Punjab 141416, India",9.178794045657906,248.5388935703144
24,30.788827,76.044676,National Highway 1  Doraha Ludhiana Punjab India,9.626482781109052,248.09120483486325
25,30.78634452819824,76.0481948852539,"Jammu - Delhi Road, Punjab 141416, India",10.061440834647712,247.65624678132457
26,30.78402099609375,76.05155436197917,"Jammu - Delhi Road, Punjab 141416, India",10.47345970053726,247.24422791543503
27,30.781882,76.054578,NH 44  Doraha Ludhiana Punjab India,10.847627184728198,246.87006043124413
28,30.779487,76.05812399999998,"Ludhiana Bypass Rd, SBS Nagar, Doraha, Punjab 141416, India",11.278574802207,246.4391128137653
29,30.77706400000001,76.061662,NH 44  Doraha Ludhiana Punjab India,11.710848296903832,246.0068393190685
30,30.77445100000001,76.065298,NH 44   Ludhiana Punjab India,12.163694320391949,245.5539932955804
31,30.772273,76.068702,National Highway 1   Ludhiana Punjab India,12.569270502706495,245.14841711326585
32,30.77102851867676,76.07060241699219,"Jammu - Delhi Road, Punjab 141416, India",12.797598994337704,244.92008862163465
33,30.768787,76.074516,NH 1   Ludhiana Punjab India,13.24718171276149,244.47050590321084
34,30.767024,76.077271,NH 44   Ludhiana Punjab India,13.575460104717695,244.14222751125462
35,30.764602000000004,76.08072,National Highway 1   Ludhiana Punjab India,14.001054493338088,243.71663312263425
36,30.762769,76.083662,National Highway 1   Ludhiana Punjab India,14.348374939109526,243.36931267686282
37,30.760959999999997,76.0872,NH 44   Ludhiana Punjab India,14.742025894476821,242.97566172149558
38,30.760484,76.088436,NH 44   Ludhiana Punjab India,14.871596403134602,242.84609121283768
39,30.758718,76.092311,"Srinagar - Kanyakumari Hwy, Punjab 141416, India",15.291092644755075,242.42659497121724
40,30.757482,76.096018,NH 44   Ludhiana Punjab India,15.671551221566505,242.04613639440586
41,30.75590200000001,76.099858,Kot Panaich Link Rd   Ludhiana Punjab India,16.07881096444772,241.63887665152455
42,30.754291,76.10413299999998,NH 44   Ludhiana Punjab India,16.525400893926946,241.19228672204537
43,30.75262,76.10850699999997,National Highway 1   Ludhiana Punjab India,16.983351336779357,240.7343362791929
44,30.751182,76.11229300000002,National Highway 1   Ludhiana Punjab India,17.379370177358734,240.3383174386136
45,30.749609000000003,76.115804,National Highway 1   Ludhiana Punjab India,17.758095681581732,239.9595919343905
46,30.748196000000004,76.120329,National Highway 1   Ludhiana Punjab India,18.21882976119884,239.49885785477343
47,30.746453000000002,76.12464,National Highway 1   Ludhiana Punjab India,18.6746204157058,239.04306720026642
48,30.744584000000003,76.12909300000003,National Highway 1   Ludhiana Punjab India,19.1487052921679,238.5689823238044
49,30.74287033081055,76.13327026367188,"Jammu - Delhi Road, Punjab 141417, India",19.591539586429786,238.12614802954246
