index,vehicle_no,d_t_1,d_t_2,r_date,date,latitude.1,location.1,longitude.1,company,distance,status,stop_time,avg_speed,previous_date,time_travelled,start_time,no_of_stop,big_no_of_stop,total_stop_time,time_to_complete,end_time
426,HR47C5778,2019-05-04 07:09:12+05:30,2019-05-04 07:12:05.234057+05:30,2019-05-04 07:09:27.437347+05:30,2019-05-04 07:09:12,30.795734405517567,"Jammu - Delhi Road, SBS Nagar, Doraha, Punjab 141416, India",76.03376007080078,is_wheelseye,473.6695325471787,Moving,0 days 00:00:00.000000000,33.43549641509496,2019-05-04 07:08:21,0 days 00:10:51.000000000,2019-05-04 06:58:21,0,0,0 days 00:00:00,0 days 05:59:10.000000000,2019-05-04 13:08:22
427,HR47C5778,2019-05-04 07:10:22+05:30,2019-05-04 07:12:06.644382+05:30,2019-05-04 07:10:30.420579+05:30,2019-05-04 07:10:22,30.79104042053223,"Jammu - Delhi Road, Doraha, Punjab 141416, India",76.04076385498047,is_wheelseye,848.62258111187,Moving,0 days 00:00:00.000000000,43.64344702861046,2019-05-04 07:09:12,0 days 00:12:01.000000000,2019-05-04 06:58:21,0,0,0 days 00:00:00,0 days 05:58:00.000000000,2019-05-04 13:08:22
428,HR47C5778,2019-05-04 07:11:18+05:30,2019-05-04 07:12:07.865008+05:30,2019-05-04 07:11:26.553767+05:30,2019-05-04 07:11:18,30.788896560668945,"Jammu - Delhi Road, Doraha, Punjab 141416, India",76.04467010498047,is_wheelseye,443.0321170656025,Moving,0 days 00:00:00.000000000,28.480636097074445,2019-05-04 07:10:22,0 days 00:12:57.000000000,2019-05-04 06:58:21,0,0,0 days 00:00:00,0 days 05:57:04.000000000,2019-05-04 13:08:22
429,HR47C5778,2019-05-04 07:12:18+05:30,2019-05-04 07:15:05.869248+05:30,2019-05-04 07:12:30.976343+05:30,2019-05-04 07:12:18,30.78434562683105,"Jammu - Delhi Road, Punjab 141416, India",76.05103302001953,is_wheelseye,790.8770306302284,Moving,0 days 00:00:00.000000000,47.4526218378137,2019-05-04 07:11:18,0 days 00:13:57.000000000,2019-05-04 06:58:21,0,0,0 days 00:00:00,0 days 05:56:04.000000000,2019-05-04 13:08:22
430,HR47C5778,2019-05-04 07:13:08+05:30,2019-05-04 07:15:07.275556+05:30,2019-05-04 07:13:27.252893+05:30,2019-05-04 07:13:08,30.78030776977539,"Jammu - Delhi Road, Punjab 141416, India",76.05683898925781,is_wheelseye,713.6230624695172,Moving,0 days 00:00:00.000000000,51.38086049780525,2019-05-04 07:12:18,0 days 00:14:47.000000000,2019-05-04 06:58:21,0,0,0 days 00:00:00,0 days 05:55:14.000000000,2019-05-04 13:08:22
431,HR47C5778,2019-05-04 07:14:18+05:30,2019-05-04 07:15:08.547350+05:30,2019-05-04 07:14:25.959111+05:30,2019-05-04 07:14:18,30.774667739868164,"Jammu - Delhi Road, Punjab 141416, India",76.06502532958984,is_wheelseye,1002.5335435162527,Moving,0 days 00:00:00.000000000,51.558867952264436,2019-05-04 07:13:08,0 days 00:15:57.000000000,2019-05-04 06:58:21,0,0,0 days 00:00:00,0 days 05:54:04.000000000,2019-05-04 13:08:22
432,HR47C5778,2019-05-04 07:15:18+05:30,2019-05-04 07:18:06.805472+05:30,2019-05-04 07:15:27.247427+05:30,2019-05-04 07:15:18,30.77008819580078,"Jammu - Delhi Road, Punjab 141416, India",76.07218933105469,is_wheelseye,853.2947373029127,Moving,0 days 00:00:00.000000000,51.19768423817477,2019-05-04 07:14:18,0 days 00:16:57.000000000,2019-05-04 06:58:21,0,0,0 days 00:00:00,0 days 05:53:04.000000000,2019-05-04 13:08:22
433,HR47C5778,2019-05-04 07:16:18+05:30,2019-05-04 07:18:04.710292+05:30,2019-05-04 07:16:29.332246+05:30,2019-05-04 07:16:18,30.76543426513672,"Jammu - Delhi Road, Punjab 141416, India",76.07945251464844,is_wheelseye,865.8598126780369,Moving,0 days 00:00:00.000000000,51.9515887606822,2019-05-04 07:15:18,0 days 00:17:57.000000000,2019-05-04 06:58:21,0,0,0 days 00:00:00,0 days 05:52:04.000000000,2019-05-04 13:08:22
434,HR47C5778,2019-05-04 07:17:18+05:30,2019-05-04 07:18:05.811128+05:30,2019-05-04 07:17:24.239966+05:30,2019-05-04 07:17:18,30.7608642578125,"Jammu - Delhi Road, Punjab 141416, India",76.0871810913086,is_wheelseye,896.7699972083908,Moving,0 days 00:00:00.000000000,53.80619983250343,2019-05-04 07:16:18,0 days 00:18:57.000000000,2019-05-04 06:58:21,0,0,0 days 00:00:00,0 days 05:51:04.000000000,2019-05-04 13:08:22
435,HR47C5778,2019-05-04 07:18:18+05:30,2019-05-04 07:21:03.887478+05:30,2019-05-04 07:18:31.249289+05:30,2019-05-04 07:18:18,30.757354736328125,"Jammu - Delhi Road, Mandiala Kalan, Punjab 141416, India",76.0959243774414,is_wheelseye,923.11662952455,Moving,0 days 00:00:00.000000000,55.386997771473,2019-05-04 07:17:18,0 days 00:19:57.000000000,2019-05-04 06:58:21,0,0,0 days 00:00:00,0 days 05:50:04.000000000,2019-05-04 13:08:22
